Time,WaterQ,WaterTemp,pH,DO,C,Turb,AmmoniaN,TP,TN,COD,InstanF,CumF,IntervalF,NitrateN
2023-08-25T00:00:00Z,劣Ⅴ类,20.8,6.89,2.84,413.3,26.8,1.175,0.573,13.3,36.1,314.81,105295.8,1185.61,NA
2023-08-24T20:00:00Z,劣Ⅴ类,21.3,6.92,2.92,434.8,19.3,1.745,0.682,17.35,39.9,290.47,104110.19,1179.46,NA
2023-08-24T16:00:00Z,劣Ⅴ类,21.4,6.95,3.78,517.2,22.2,2.086,0.774,19.72,40.7,323.09,102930.73,910.9,NA
2023-08-23T16:00:00Z,劣Ⅴ类,22.7,7.11,4.59,504.2,16.1,0.628,0.455,10.68,35.4,338.62,100881.91,2804.43,9.3
2023-08-23T08:00:00Z,劣Ⅴ类,20.1,7.07,3.29,449.8,26.9,0.841,0.472,9.92,33.1,371.39,98077.48,1510.88,8.3
2023-08-23T04:00:00Z,Ⅰ类,20.3,7.03,2.72,416.3,17.4,0.758,0.498,9.99,34.7,391.5,96566.6,1608.33,8.37
2023-08-23T00:00:00Z,Ⅰ类,20.7,7.01,3.3,386.7,44.6,0.544,0.513,8.61,32.8,418.42,94958.27,1676.64,7.6
2023-08-22T20:00:00Z,Ⅰ类,21,7,3.48,370.8,19,0.584,0.561,8.65,34.4,426.59,93281.63,1738.71,7.78
2023-08-22T16:00:00Z,Ⅰ类,21.4,7.08,3.99,388.9,21.4,0.822,0.617,9.71,37.7,456.97,91542.92,2882.49,8.48
2023-08-17T00:00:00Z,劣Ⅴ类,24.7,7.81,7.19,331.2,42.5,0.042,0.398,2.76,13,10027.9,83230.25,2273.52,2.43
2023-08-07T00:00:00Z,Ⅳ类,NA,6.97,4.13,636.3,36.2,NA,NA,21.76,NA,378.37,79580.2,1454.4,NA
2023-08-06T20:00:00Z,劣Ⅴ类,22.3,6.99,4.9,652.3,36.8,0.739,0.519,22.97,32,356.96,78125.8,1412.22,NA
2023-08-06T16:00:00Z,劣Ⅴ类,22.2,7.1,5.47,601.7,35,0.725,0.506,20.18,32.1,356.88,76713.58,2613.84,NA
2023-08-06T00:00:00Z,Ⅳ类,23.7,7.48,6.77,452.4,45.9,0.098,0.239,5.93,21.2,11990.9,64601.44,30353.6,NA
2023-08-04T08:00:00Z,Ⅳ类,22.7,7.1,4.28,504.3,46.5,0.231,0.286,9.91,21.9,197.13,29515.66,793.23,NA
2023-08-04T04:00:00Z,Ⅴ类,23.5,7.11,4.13,528.8,24,0.295,0.306,11.13,22.9,201.82,28722.43,864.57,NA
2023-08-04T00:00:00Z,Ⅴ类,24.8,7.07,4.19,403,27.9,0.235,0.336,12.35,24.5,236.69,27857.86,994.29,NA
2023-08-03T20:00:00Z,Ⅴ类,26.7,7.13,5.22,546.8,33.9,0.122,0.345,14.3,26.1,271.49,26863.57,1169.98,NA
2023-08-03T16:00:00Z,Ⅴ类,27.7,7.2,6.79,505.4,30.6,0.158,0.36,14.24,28.1,313.31,25693.59,2796.23,NA
2023-08-03T08:00:00Z,Ⅴ类,22,7,4.49,492.9,51.7,0.344,0.376,13.26,25.7,305.62,22897.36,1234.46,NA
2023-08-03T04:00:00Z,劣Ⅴ类,22.9,6.97,4.25,530.9,43.8,0.403,0.419,14.45,25.5,320.88,21662.9,1387.42,NA
2023-08-03T00:00:00Z,劣Ⅴ类,23.8,6.95,4.41,521.1,70.5,0.472,0.421,15.79,27.1,364.91,20275.48,1500.3,NA
2023-08-02T20:00:00Z,劣Ⅴ类,24.9,6.98,5.08,459.9,35.7,0.654,0.473,16.1,28.9,380.62,18775.18,1539.64,NA
2023-08-02T16:00:00Z,劣Ⅴ类,25.2,7.12,6.07,510.4,59.8,0.657,0.544,10.54,31.4,381.63,17235.54,2486.99,NA
2023-08-02T00:00:00Z,劣Ⅴ类,24.5,7.11,4.6,407.5,61,0.933,0.633,2.77,NA,1283.96,13870.17,385.47,NA
2023-07-29T00:00:00Z,Ⅲ类,23.9,7.38,6.05,348.7,55.8,NA,NA,0.73,17.4,786.41,6719.65,1087.95,NA
2023-07-26T00:00:00Z,劣Ⅴ类,24.6,7.41,6.45,392.8,55.9,0.157,0.667,1.73,23.2,663.29,3275.45,584.6,NA
