站点,样品类型,样品ID,时间,水温(℃),pH 值(无量纲),溶解氧(mg/L),电导率(uS/cm),浊度(NTU),氨氮(mg/L),总磷(mg/L),总氮(mg/L),化学需氧量(mg/L),硝酸盐氮(mg/L),透明度(cm)
11,水样,NYMY23091903,2023/11/1 08:00,,,,,,0.016,0.175,5.2,3.0 (L),4.83,
11,水样,NYMY23103169,2023/10/29 08:00,,,,,,0.013,0.17,4.87,4.9,4.95,
11,水样,NYMY2310317,2023/10/28 08:00,,,,,,0.011,0.213,5.02,5.1,5.02,
11,水样,NYMY23103170,2023/10/27 08:00,,,,,,0.010 (L),0.218,5.89,7,5.69,
11,水样,NYMY23103171,2023/10/26 08:00,,,,,,0.010 (L),0.194,5.62,6.6,5.43,
11,水样,NYMY23103172,2023/10/25 08:00,,,,,,0.015,0.229,5.64,7.6,5.58,
11,水样,NYMY23103173,2023/10/24 08:00,,,,,,0.018,0.195,6.76,8.2,6.09,
11,水样,NYMY2310376,2023/10/23 08:00,,,,,,0.010 (L),0.2,8.04,10,6.88 (T),
11,水样,nymy2310372,2023/10/21 08:00,,,,,,0.010 (L),0.204,4.75,14.6,4.39,
11,水样,"nymy2310371,NYMY2310373",2023/10/20 08:00,,,,,,0.010 (L),0.192,7.26,12.7,6.72 (T),
11,水样,nymy2310374,2023/10/19 08:00,,,,,,0.010 (L),0.195,10.64,15.9,9.70 (T),
11,水样,nymy2310375,2023/10/18 08:00,,,,,,0.010 (L),0.219,10.44,15.3,9.43 (T),
11,水样,NYMY23091930,2023/10/10 08:00,,,,,,,0.408,8.16,21.5,8.12 (T),
11,水样,nymy23091931,2023/10/9 08:00,,,,,,0.010 (L),0.592,9.6,19.4,10.60 (T),
11,水样,nymy23091932,2023/10/8 08:00,,,,,,0.010 (L),0.548,4.75,19.2,5.50 (T),
11,水样,NYMY23091933,2023/10/7 08:00,,,,,,0.010 (L),0.168,3.35,10.6,3.72,
11,水样,NYMY23091934,2023/10/6 08:00,,,,,,,0.249,3.65,12.2,3.34,
11,水样,NYMY23091935,2023/10/5 08:00,,,,,,,0.245,2.91,9,,
11,水样,NYMY23092076,2023/10/3 08:00,,,,,,0.010 (L),0.146,0.45,11.8,1.41,
11,水样,NYMY23092077,2023/10/2 08:00,,,,,,0.010 (L),0.168,3.13,12.5,3.46,
11,水样,nymy23092072,2023/10/1 08:00,,,,,,,0.154,4.25,11.8,3.92,
11,水样,nymy23092073,2023/9/30 08:00,,,,,,,0.154,4.1,8.2,3.84,
11,水样,nymy23092074,2023/9/29 08:00,,,,,,,0.156,4.37,8.3,4.04,
11,水样,NYMY23092075,2023/9/28 08:00,,,,,,0.010 (L),0.202,0.05 (L),6.7,0.14,
11,水样,nymy23090685,2023/9/26 08:00,,,,,,0.010 (L),0.222,3.65,18.4,4.39,
11,水样,nymy23090683,2023/9/25 08:00,,,,,,0.010 (L),0.313,2.89,21.2,3.34,
11,水样,nymy23090684,2023/9/24 08:00,,,,,,0.010 (L),0.208,4.93,16.7,5.47 (T),
11,水样,nymy23090677,2023/9/23 08:00,,,,,,0.010 (L),0.202,3.56,16.5,4.33,
11,水样,nymy23090682,2023/9/22 08:00,,,,,,0.010 (L),0.161,1.66,14.6,2.55,
11,水样,nymy23090681,2023/9/21 08:00,,,,,,0.010 (L),0.187,2.81,14.8,3.35,
11,水样,nymy23082834,2023/9/2 05:42,,,,,,,0.629,18.95,18.4,15.44 (T),
11,水样,nymy23082837,2023/9/2 01:42,,,,,,,0.566,11.3,14.8,9.84 (T),
11,水样,nymy23082838,2023/9/1 23:42,,,,,,,0.585,17.15,17.6,14.07 (T),
11,水样,BYD23082290,2023/8/31 08:00,,,,,,0.010 (L),0.595,16.16,27.1,14.08 (T),
11,水样,BYD23082289,2023/8/30 08:00,,,,,,0.010 (L),0.362,9.58,17.9,9.13 (T),
11,水样,BYD23082288,2023/8/29 08:00,,,,,,0.010 (L),0.358,10.08,18.5,9.19 (T),
11,水样,BYD23082291,2023/8/28 17:40,,,,,,0.010 (L),0.369,10.88,17.1,10.05 (T),
11,水样,BYD23082292,2023/8/28 08:00,,,,,,0.010 (L),0.368,12.32,16.5,11.25 (T),
11,水样,BYD23082293,2023/8/27 08:00,,,,,,0.010 (L),0.564,18.98,25.1,13.77 (T),
11,水样,BYD23082294,2023/8/26 08:00,,,,,,0.010 (L),0.872,28.22,34.2,21.43 (T),
11,水样,BYD23082295,2023/8/25 12:00,,,,,,0.010 (L),,30.27,35.1,21.92 (T),
11,水样,BYD23082296,2023/8/25 10:21,,,,,,0.010 (L),1.102,,36.5,23.71 (T),
11,水样,BYD23082297,2023/8/24 12:00,,,,,,0.010 (L),0.732,25.55,32.8,20.13 (T),
11,水样,BYD23082298,2023/8/24 10:38,,,,,,0.010 (L),0.699,27.04,34,20.57 (T),
11,水样,BYD23082299,2023/8/23 12:23,,,,,,0.010 (L),0.796,32.7,34.1,22.62 (T),
13,水样,nymy24052085,2024/5/28 21:23,,,,,,,0.874,42.46,283.4,24.74 (T),
13,水样,nymy24052084,2024/5/28 20:03,,,,,,,2.388,9.46,278.6,7.58,
13,水样,nymy24052081,2024/5/28 19:19,,,,,,,0.342,56.94,340.4,25.85 (T),
13,水样,nymy24052082,2024/5/28 18:36,,,,,,,0.374,60.93,340.6,26.13 (T),
13,水样,nymy2402471,2024/5/21 14:34,,,,,,0.629,0.942,60.67,33.6,25.73 (T),
13,水样,NYMY23112849,2023/12/8 08:00,,,,,,0.012,0.095,,,,
13,水样,NYMY23112842,2023/12/7 15:30,,,,,,0.037,0.294,,,,
13,水样,NYMY23112843,2023/12/7 08:00,,,,,,0.010 (L),0.077,,,,
13,水样,NYMY23111919,2023/12/6 15:30,,,,,,0.010 (L),0.163,2.55,12.1,2.58,
13,水样,NYMY23111917,2023/12/6 08:00,,,,,,0.010 (L),0.116,1.42,8.9,1.56,
13,水样,NYMY23111921,2023/12/5 08:00,,,,,,0.010 (L),0.095,1.28,8.1,1.57,
13,水样,NYMY23111918,2023/12/4 15:30,,,,,,0.010 (L),0.161,1.68,16.4,1.61,
13,水样,NYMY23111956,2023/11/28 15:30,,,,,,,0.123,1.54,,1.54,
13,水样,NYMY23111954,2023/11/26 15:30,,,,,,,0.14,2.53,,2.38,
13,水样,NYMY23111955,2023/11/26 08:00,,,,,,,0.097,2.68,,2.85,
13,水样,NYMY23111357,2023/11/21 15:30,,,,,,,0.14,4.94,4.6,4.32,
13,水样,NYMY23111358,2023/11/18 08:00,,,,,,,0.457,7.84,19,6.34,
13,水样,NYMY23111359,2023/11/17 16:30,,,,,,0.323,0.095,5.19,9.7,4.14,
13,水样,NYMY23111360,2023/11/17 16:10,,,,,,,0.108,5.08,9.6,3.93,
13,水样,NYMY23111355,2023/11/17 15:50,,,,,,,0.084,4.71,9.3,3.76,
13,水样,NYMY23111356,2023/11/17 15:40,,,,,,,0.079,4.71,10.6,3.74,
13,水样,NYMY23103115,2023/11/17 08:00,,,,,,0.02,0.152,3.79,6.2,3.4,
13,水样,NYMY23111322,2023/11/16 15:30,,,,,,0.029,0.136,2.5,5.2,2.58,
13,水样,NYMY23111321,2023/11/16 08:00,,,,,,0.052,0.093,1.82,3.0 (L),1.78,
13,水样,NYMY23111320,2023/11/15 15:30,,,,,,0.045,0.123,5.01,3.0 (L),4.57,
13,水样,NYMY23103116,2023/11/15 08:00,,,,,,0.067,0.21,1.93,3.0 (L),1.94,
13,水样,NYMY23103114,2023/11/14 15:30,,,,,,0.043,0.123,3.73,3.0 (L),3.26,
13,水样,NYMY23101358,2023/11/13 15:30,,,,,,0.02,0.179,4.44,6.5,4.05,
13,水样,NYMY23101357,2023/11/13 08:00,,,,,,0.023,0.162,2.59,9.2,2.52,
13,水样,NYMY23101353,2023/11/12 15:30,,,,,,0.015,0.191,4.28,8.3,3.41,
13,水样,NYMY23101354,2023/11/12 08:00,,,,,,0.025,0.067,1.86,3.0 (L),1.93,
13,水样,NYMY23101355,2023/11/11 15:30,,,,,,0.025,0.213,4.06,4.6,3.66,
13,水样,NYMY23101356,2023/11/11 08:00,,,,,,0.029,0.106,2.97,3.0 (L),3.2,
13,水样,NYMY231013187,2023/11/6 15:30,,,,,,0.026,0.165,2.23,7.6,2.07,
13,水样,NYMY231013188,2023/11/6 08:00,,,,,,0.012,0.102,1.27,6.1,1.4,
13,水样,NYMY231013189,2023/11/5 15:30,,,,,,0.016,0.248,3.51,12.6,3.31,
13,水样,NYMY231013184,2023/11/5 08:00,,,,,,0.010 (L),0.063,0.8,3.8,1.04,
13,水样,NYMY231013185,2023/11/4 15:30,,,,,,0.010 (L),0.145,5.79,7.1,5.3,
13,水样,NYMY231013186,2023/11/4 08:00,,,,,,0.010 (L),0.087,1.55,4,1.71,
13,水样,NYMY2310325,2023/10/30 12:01,,,,,,0.067,0.136,5.23,3.0 (L),5.27,
13,水样,NYMY2310326,2023/10/30 08:00,,,,,,0.04,0.075,1.49,3.0 (L),1.65,
13,水样,NYMY2310327,2023/10/29 15:30,,,,,,0.036,0.15,4.22,5.1,4.19,
13,水样,NYMY2310328,2023/10/29 08:00,,,,,,0.025,0.079,3.09,3.0 (L),3.01,
13,水样,NYMY2310329,2023/10/28 15:30,,,,,,0.014,0.135,4.8,3.0 (L),4.56,
13,水样,NYMY2310330,2023/10/28 08:00,,,,,,0.015,0.117,,3.0 (L),3.94,
14,水样,NYMY23112854,2023/12/13 08:00,,,,,,0.04,0.126,,,,
14,水样,NYMY23112855,2023/12/7 08:00,,,,,,0.010 (L),0.144,,,,
14,水样,NYMY23111324,2023/11/21 08:00,,,,,,,0.131,6.32,4.6,5.46,
14,水样,NYMY23111364,2023/11/20 08:00,,,,,,,0.142,6.42,5.5,5.69,
14,水样,NYMY23111363,2023/11/19 08:00,,,,,,,0.18,5.44,8.7,4.78,
14,水样,NYMY23111362,2023/11/18 08:00,,,,,,,0.25,5.37,12.2,4.59,
14,水样,NYMY23111361,2023/11/17 16:35,,,,,,,0.149,4.03,10.2,3.44,
14,水样,NYMY23111323,2023/11/17 16:15,,,,,,,0.152,3.98,5.1,3.43,
14,水样,NYMY23111325,2023/11/17 08:00,,,,,,0.01,0.089,1.63,3.0 (L),1.69,
14,水样,NYMY23111326,2023/11/16 08:00,,,,,,0.018,0.141,2.04,6.2,1.79,
14,水样,NYMY23111327,2023/11/15 08:00,,,,,,0.027,0.116,4.18,3.0 (L),3.92,
14,水样,NYMY23111328,2023/11/14 08:00,,,,,,0.011,0.116,1.71,3.0 (L),1.71,
14,水样,NYMY23101364,2023/11/13 08:00,,,,,,0.013,0.127,2.54,3.0 (L),2.74,
14,水样,NYMY23101359,2023/11/12 08:00,,,,,,0.014,0.105,2.19,3.6,2.33,
14,水样,NYMY23101360,2023/11/11 08:00,,,,,,0.010 (L),0.118,4.2,3.0 (L),3.83,
14,水样,NYMY23101361,2023/11/10 08:00,,,,,,0.010 (L),0.122,2.44,3.0 (L),2.74,
14,水样,NYMY23101362,2023/11/9 08:00,,,,,,0.010 (L),0.121,3.78,3.0 (L),3.49,
14,水样,NYMY23101363,2023/11/8 08:00,,,,,,0.010 (L),0.137,2.69,3.0 (L),2.97,
14,水样,NYMY231013183,2023/11/6 08:00,,,,,,0.010 (L),0.124,2.95,3.8,3.03,
14,水样,NYMY231013179,2023/11/5 08:00,,,,,,0.010 (L),0.094,1.67,3.0 (L),1.88,
14,水样,NYMY23101318,2023/11/4 08:00,,,,,,0.01,0.135,2.43,3.1,2.39,
14,水样,NYMY231013180,2023/11/3 08:00,,,,,,0.010 (L),0.138,2.2,5.5,2.49,
14,水样,NYMY231013181,2023/11/2 08:00,,,,,,0.010 (L),0.14,2.63,7.7,2.76,
14,水样,NYMY231013182,2023/11/1 08:00,,,,,,0.010 (L),0.126,5.58,3.7,5.39,
14,水样,NYMY23103147,2023/10/30 08:00,,,,,,0.026,0.189,2.35,9.3,2.23,
14,水样,NYMY230919155,2023/10/29 08:00,,,,,,0.103,0.221,4.05,4,3.75,
14,水样,NYMY23103143,2023/10/28 08:00,,,,,,0.024,0.111,5.65,,5.39,
14,水样,NYMY23103144,2023/10/27 08:00,,,,,,0.012,0.113,5.21,3.0 (L),4.94,
14,水样,NYMY23103145,2023/10/26 08:00,,,,,,0.015,0.125,5.4,3.3,5.31,
14,水样,NYMY23103146,2023/10/25 08:00,,,,,,0.015,0.213,4.36,4.6,4.29,
14,水样,NYMY230919156,2023/10/23 08:00,,,,,,0.012,0.095,2.11,5.7,1.96,
14,水样,"NYMY230919157,NYMY2310384",2023/10/22 08:00,,,,,,0.010 (L),0.106,3.38,6.7,3.14,
14,水样,NYMY2310383,2023/10/21 08:00,,,,,,0.010 (L),0.104,5.48,6.8,4.98,
14,水样,NYMY2310385,2023/10/19 08:00,,,,,,0.010 (L),0.094,4.62,7.3,4.44,
14,水样,NYMY230920107,2023/10/10 08:00,,,,,,0.010 (L),1.028,20.88,49.3,17.03 (T),
14,水样,NYMY230920108,2023/10/9 08:00,,,,,,0.010 (L),0.675,20.45,38.7,15.69 (T),
14,水样,nymy230920109,2023/10/8 08:00,,,,,,0.010 (L),0.415,8.1,25.6,8.11 (T),
14,水样,NYMY230920110,2023/10/7 08:00,,,,,,,0.249,2.68,11.7,1.85,
14,水样,NYMY230920105,2023/10/6 08:00,,,,,,0.010 (L),0.187,2.97,6.4,2.79,
14,水样,nymy230920106,2023/10/5 08:00,,,,,,0.010 (L),0.218,3.31,9.4,4.1,
14,水样,NYMY23091982,2023/9/30 08:00,,,,,,0.010 (L),0.149,4.06,11.8,4.6,
14,水样,NYMY23091983,2023/9/29 08:00,,,,,,,0.111,,,,
14,水样,NYMY23091986,2023/9/28 08:00,,,,,,0.010 (L),0.105,1.8,9.4,2.42,
14,水样,NYMY23091984,2023/9/27 08:00,,,,,,0.010 (L),0.139,1.78,9.6,2.5,
14,水样,NYMY23091985,2023/9/26 08:00,,,,,,0.010 (L),0.124,1.56,12.5,2.23,
14,水样,NYMY23091981,2023/9/25 08:00,,,,,,0.010 (L),0.146,4.24,8.7,4.74,
14,水样,nymy23090673,2023/9/19 08:00,,,,,,,0.148,3.1,6.4,2.89,
14,水样,NYMY23090670,2023/9/18 08:00,,,,,,0.010 (L),0.27,5.23,7.9,5.83 (T),
14,水样,NYMY23090671,2023/9/17 08:00,,,,,,0.010 (L),0.132,1.88,7.5,2.49,
14,水样,nymy23090672,2023/9/16 08:00,,,,,,,0.128,6.91,6.4,6.39 (T),
14,水样,NYMY23090669,2023/9/15 08:00,,,,,,0.010 (L),0.141,8.6,9.9,7.51 (T),
14,水样,NYMY23090668,2023/9/14 08:00,,,,,,0.010 (L),0.22,8.1,19.2,8.47 (T),
14,水样,NYMY23082454,2023/9/13 14:20,,,,,,0.011,0.606,17.92,34.2,14.92 (T),
14,水样,nymy23082456,2023/9/13 08:00,,,,,,,0.139,4.6,6.2,4.45,
14,水样,NYMY23082451,2023/9/5 08:00,,,,,,0.010 (L),,6.26,11.1,6.18 (T),
14,水样,NYMY23082449,2023/9/2 01:37,,,,,,0.010 (L),,12.45,34.3,11.22 (T),
14,水样,NYMY23082448,2023/9/1 23:37,,,,,,0.010 (L),,10.92,46.1,9.06 (T),
14,水样,NYMY23082463,2023/9/1 21:37,,,,,,0.010 (L),,12.05,,10.90 (T),
14,水样,NYMY23082464,2023/9/1 19:37,,,,,,0.010 (L),,10.68,35.4,9.78 (T),
14,水样,NYMY23082465,2023/9/1 17:37,,,,,,0.010 (L),,8.24,21.9,8.08 (T),
14,水样,NYMY23082466,2023/9/1 08:00,,,,,,0.010 (L),,10.15,22.3,9.49 (T),
14,水样,NYMY23082467,2023/8/31 08:00,,,,,,0.010 (L),,13.66,34.3,,
14,水样,NYMY23082468,2023/8/30 08:00,,,,,,0.010 (L),,7.21,15.1,7.02 (T),
14,水样,NYMY23082446,2023/8/29 10:10,,,,,,0.010 (L),,7.29,15.4,7.26 (T),
14,水样,NYMY23082455,2023/8/28 10:58,,,,,,,0.345,7.06,19,6.12 (T),
14,水样,NYMY23082453,2023/8/26 08:00,,,,,,,0.224,10.26 (T),11.4,9.08 (T),
14,水样,NYMY23082452,2023/8/25 12:00,,,,,,,0.442,15.97 (T),27.1,13.75 (T),
14,水样,NYMY23082450,2023/8/25 11:00,,,,,,,0.505,16.86 (T),33.5,14.52 (T),
14,水样,NYMY23082447,2023/8/24 19:48,,,,,,,0.493,17.87 (T),32.6,15.25 (T),
14,水样,NYMY23082445,2023/8/24 15:10,,,,,,,0.5,16.45 (T),32.5,14.45 (T),
14.1,水样,NYMY24052065,2024/5/26 17:42,,,,,,,0.165,,45.2,,
14.1,水样,NYMY23101349,2024/4/17 08:00,,,,,,,0.334,5.02,3.0 (L),4.03,
14.1,水样,nymy23101350,2024/2/16 08:00,,,,,,,0.174,,,2.56,
14.1,水样,nymy23101351,2024/2/15 08:00,,,,,,0.010 (L),0.088,4.61,3.0 (L),4.15,
14.1,水样,nymy231128194,2024/2/14 08:00,,,,,,,0.296,5.44,,4.65,
14.1,水样,nymy23101348,2024/2/12 08:00,,,,,,,0.093,4.63,,4.17,
14.1,水样,NYMY23101396,2023/11/29 08:00,,,,,,,0.114,4.69,,4.58,
14.1,水样,NYMY23101352,2023/11/13 08:00,,,,,,0.010 (L),0.169,0.76,3.0 (L),0.76,
14.1,水样,NYMY2310332,2023/11/6 17:09,,,,,,0.129,0.211,2.4,4.7,2.32,
14.1,水样,NYMY2310318,2023/11/6 08:00,,,,,,,0.074,1.32,,1.45,
14.1,水样,NYMY23103180,2023/11/4 08:00,,,,,,0.010 (L),0.25,3.17,9.4,3.15,
14.1,水样,NYMY23103181,2023/11/3 08:00,,,,,,0.014,0.15,2.57,3.0 (L),2.7,
14.1,水样,NYMY231013151,2023/10/31 08:00,,,,,,0.017,0.168,3.88,8.5,3.85,
14.1,水样,NYMY231013150,2023/10/30 15:57,,,,,,0.010 (L),0.229,5.36,24.3,4.79,
14.1,水样,NYMY23103183,2023/10/30 15:48,,,,,,0.047,0.152,5.89,5.1,5.42,
14.1,水样,NYMY23103182,2023/10/30 08:00,,,,,,0.027,0.137,0.73,3.0 (L),0.75,
14.1,水样,nymy2310331,2023/10/23 08:00,,,,,,0.010 (L),0.272,2.57,27.6,,
14.1,水样,nymy2310334,2023/10/21 08:00,,,,,,0.010 (L),0.203,6.04,18.5,5.92 (T),
14.1,水样,nymy2310335,2023/10/20 08:00,,,,,,0.010 (L),0.252,6.42,21.5,,
14.1,水样,nymy2310336,2023/10/19 08:00,,,,,,0.012,0.382,7.53,44.1,5.74 (T),
14.1,水样,nymy230919100,2023/10/18 08:00,,,,,,0.010 (L),,,,,
14.1,水样,nymy230919101,2023/10/17 08:00,,,,,,0.010 (L),0.117,6.34,8.5,5.79 (T),
14.1,水样,nymy230919102,2023/10/16 08:00,,,,,,0.010 (L),0.167,5.83,12.9,5.20 (T),
14.1,水样,NYMY230919103,2023/10/15 08:00,,,,,,0.010 (L),0.152,7.03,10.4,6.28 (T),
14.1,水样,NYMY230919104,2023/10/14 08:00,,,,,,0.010 (L),0.215,5.69,14.9,4.95,
14.1,水样,nymy230919105,2023/10/13 12:16,,,,,,0.010 (L),0.348,9.69,25.5,8.28 (T),
14.1,水样,NYMY23092051,2023/10/10 08:00,,,,,,0.010 (L),1.062,26.76,31.8,21.10 (T),
14.1,水样,NYMY23092046,2023/10/6 08:00,,,,,,0.010 (L),0.639,15.27,101,12.97 (T),
14.1,水样,NYMY23092047,2023/10/5 08:00,,,,,,0.010 (L),0.168,6.38,5.8,5.70 (T),
14.1,水样,NYMY23092048,2023/10/4 08:00,,,,,,0.010 (L),0.126,5.01,10.9,4.66,
14.1,水样,nymy23092049,2023/10/3 08:00,,,,,,0.010 (L),,,,,
14.1,水样,NYMY23092050,2023/10/2 08:00,,,,,,0.010 (L),0.316,3.01,10.2,3.31,
14.1,水样,NYMY23091971,2023/9/30 08:00,,,,,,,0.179,6.17,9.6,5.54 (T),
14.1,水样,NYMY23091972,2023/9/29 08:00,,,,,,,0.087,2.74,4.7,2.51,
14.1,水样,NYMY23091973,2023/9/28 08:00,,,,,,,0.114,4.39,5.2,4.07,
14.1,水样,NYMY23091974,2023/9/27 08:00,,,,,,,0.138,3.01,5.6,2.78,
14.1,水样,NYMY23091969,2023/9/26 08:00,,,,,,,0.187,2.68,8.8,2.64,
14.1,水样,nymy23091970,2023/9/25 08:00,,,,,,,0.134,6.99,8,6.37 (T),
14.1,水样,NYMY23090643,2023/9/20 08:00,,,,,,0.010 (L),0.103,4.58,9.8,5.04 (T),
14.1,水样,NYMY23090639,2023/9/19 08:00,,,,,,0.019,0.091,1.39,8.4,2.44,
14.1,水样,NYMY23090640,2023/9/18 08:00,,,,,,0.022,0.107,4.1,8.7,5.11 (T),
14.1,水样,NYMY23090641,2023/9/17 08:00,,,,,,0.010 (L),0.203,1.8,10.1,2.61,
14.1,水样,NYMY23090642,2023/9/16 08:00,,,,,,0.010 (L),0.174,5.18,7.9,5.74 (T),
14.1,水样,NYMY23090644,2023/9/15 08:00,,,,,,0.010 (L),0.145,5.71,12.4,6.32 (T),
14.1,水样,nymy23082898,2023/9/2 13:43,,,,,,,0.611,15.7,29.3,13.05 (T),
14.1,水样,byd23082243,2023/9/2 09:43,,,,,,,0.898,15.89,32.4,13.00 (T),
14.1,水样,byd23082242,2023/9/2 07:43,,,,,,,0.955,15.79,32,12.92 (T),
14.1,水样,nymy23082890,2023/9/2 03:43,,,,,,,1.012,13.14,26.8,11.10 (T),
14.1,水样,nymy23082893,2023/9/1 21:43,,,,,,,0.757,13.07,31.3,10.82 (T),
14.1,水样,BYD23082241,2023/8/29 08:00,,,,,,,0.181,7.31,10.4,6.52 (T),
14.1,水样,BYD23082240,2023/8/28 17:35,,,,,,,0.246,8.03,15.2,7.16 (T),
14.1,水样,BYD23082261,2023/8/28 08:00,,,,,,,0.207,6.86,12.5,6.14 (T),
14.1,水样,BYD23082279,2023/8/27 08:00,,,,,,,0.152,7.82,8.3,7.07 (T),
14.1,水样,BYD23082278,2023/8/26 08:00,,,,,,,0.291,10.94 (T),21.2,9.76 (T),
14.1,水样,BYD23082277,2023/8/25 12:00,,,,,,,0.462,16.15 (T),29.3,13.96 (T),
14.1,水样,BYD23082276,2023/8/25 11:02,,,,,,,0.675,17.27 (T),53.5,14.94 (T),
14.1,水样,BYD23082275,2023/8/24 19:49,,,,,,,0.485,17.87 (T),34.4,15.54 (T),
14.1,水样,BYD23082274,2023/8/24 12:00,,,,,,0.010 (L),,22.25 (adE/T),48.9,,
14.1,水样,BYD23082273,2023/8/23 12:00,,,,,,,0.493,16.56 (T),38.1,14.42 (T),
14.2,水样,NYMY24052058,2024/5/28 19:12,,,,,,,0.026,4.06,44.8,,
14.2,水样,nymy2402492,2024/5/20 23:09,,,,,,1.781,0.881,51.78,45.8,24.38 (T),
14.2,水样,NYMY23101386,2023/11/21 08:00,,,,,,,0.142,5.92,7.5,5.14,
14.2,水样,NYMY23101387,2023/11/20 08:00,,,,,,,0.261,6,56.5,4.88,
14.2,水样,NYMY23101385,2023/11/19 08:00,,,,,,,0.137,6.07,6.4,5.26,
14.2,水样,NYMY23101388,2023/11/18 08:00,,,,,,,0.391,6.87,17.9,5.4,
14.2,水样,NYMY23101389,2023/11/17 08:00,,,,,,0.044,0.088,4.95,6.1,4.3,
14.2,水样,NYMY23101390,2023/11/14 08:00,,,,,,,0.14,2.64,10.9,2.42,
14.2,水样,NYMY23101341,2023/11/13 08:00,,,,,,0.010 (L),0.129,2.33,3.0 (L),2.43,
14.2,水样,NYMY23101342,2023/11/12 08:00,,,,,,0.014,0.13,2.82,3.0 (L),3.08,
14.2,水样,NYMY23101346,2023/11/11 08:00,,,,,,0.010 (L),0.149,4.91,3.0 (L),4.48,
14.2,水样,NYMY23101345,2023/11/10 08:00,,,,,,0.018,0.15,2,3.0 (L),2.04,
14.2,水样,NYMY23101344,2023/11/9 08:00,,,,,,0.013,0.125,3.99,3.0 (L),3.61,
14.2,水样,NYMY23101343,2023/11/8 08:00,,,,,,0.013,0.123,2.34,3.0 (L),2.45,
14.2,水样,3-23051207,2023/11/6 08:00,,,,,,0.011,0.144,4.19,12.2,3.83,
14.2,水样,NYMY23103184,2023/11/5 08:00,,,,,,0.011,,,,,
14.2,水样,NYMY23103185,2023/11/4 08:00,,,,,,0.013,0.232,2.43,6.1,2.63,
14.2,水样,NYMY23103186,2023/11/3 08:00,,,,,,0.019,0.176,0.11,3.0 (L),0.35,
14.2,水样,NYMY23101315,2023/11/2 08:00,,,,,,0.010 (L),0.106,4.21,6.6,3.81,
14.2,水样,NYMY231013149,2023/11/1 08:00,,,,,,0.014,0.179,0.26,3.0 (L),0.33,
14.2,水样,NYMY23103187,2023/10/30 08:00,,,,,,0.032,0.094,5.85,3.0 (L),5.43,
14.2,水样,NYMY23103188,2023/10/24 08:00,,,,,,0.010 (L),0.075,1.66,3.0 (L),1.79,
14.2,水样,nymy2310341,2023/10/23 08:00,,,,,,0.024,0.091,2.14,10,2.1,
14.2,水样,nymy2310339,2023/10/21 08:00,,,,,,0.010 (L),0.1,6.31,12,5.88 (T),
14.2,水样,"nymy2310338,nymy2310340",2023/10/20 08:00,,,,,,0.010 (L),0.125,6.14,9.8,3.31,
14.2,水样,nymy2310337,2023/10/19 08:00,,,,,,0.010 (L),0.112,6.26,11.4,,
14.2,水样,nymy230920111,2023/10/18 08:00,,,,,,0.010 (L),,,,5.71 (T),
14.2,水样,nymy230920112,2023/10/17 08:00,,,,,,0.010 (L),,,,,
14.2,水样,nymy230920113,2023/10/16 08:00,,,,,,0.010 (L),,,,,
14.2,水样,NYMY230920114,2023/10/15 08:00,,,,,,0.010 (L),0.154,6.68,11.2,6.03 (T),
14.2,水样,nymy23092045,2023/10/1 08:00,,,,,,0.010 (L),,,,,
14.2,水样,nymy23091966,2023/9/30 08:00,,,,,,,0.138,6.7,5.5,6.19 (T),
14.2,水样,nymy23091967,2023/9/29 08:00,,,,,,,0.089,4.61,5.5,4.34,
14.2,水样,nymy23091968,2023/9/28 08:00,,,,,,,0.126,3.1,5.3,2.93,
14.2,水样,NYMY23091963,2023/9/26 08:00,,,,,,,0.174,2.85,8.7,2.86,
14.2,水样,NYMY23091964,2023/9/25 08:00,,,,,,,0.129,6.91,6.2,6.23 (T),
14.2,水样,NYMY23091965,2023/9/24 08:00,,,,,,,0.253,7.34,7.3,6.60 (T),
14.2,水样,BYD230822146,2023/9/20 16:00,,,,,,0.010 (L),0.251,5.18,6.9,6.24 (T),
14.2,水样,BYD230822147,2023/9/12 22:00,,,,,,0.010 (L),0.408,6.21,21.2,6.21 (T),
14.2,水样,BYD230822148,2023/9/12 20:00,,,,,,,,18.06,30.8,13.04 (T),
14.2,水样,BYD230822149,2023/9/12 18:00,,,,,,0.010 (L),0.306,5.67,6.2,5.80 (T),
14.2,水样,BYD230822150,2023/9/12 16:00,,,,,,0.010 (L),0.171,5.47,16.4,5.95 (T),
14.2,水样,BYD230822151,2023/9/12 14:00,,,,,,0.010 (L),0.283,5.28,10.5,5.84 (T),
14.2,水样,BYD230822152,2023/9/12 12:00,,,,,,0.010 (L),0.268,5.62,7.1,6.21 (T),
14.2,水样,BYD230822153,2023/9/12 10:00,,,,,,0.010 (L),0.227,5.2,7.7,5.74 (T),
14.2,水样,BYD230822154,2023/9/12 08:00,,,,,,0.010 (L),0.154,4.87,14.6,5.72 (T),
14.2,水样,BYD230822155,2023/9/12 06:00,,,,,,0.010 (L),0.257,5.34,7.9,5.80 (T),
14.2,水样,NYMY23082889,2023/9/12 04:00,,,,,,0.010 (L),0.258,5.04,8.3,5.61 (T),
14.2,水样,BYD230822156,2023/9/12 02:00,,,,,,0.010 (L),0.217,7.33,6.1,5.82 (T),
